Period,Total,,USA,,,,Overseas,,,,,Total,,USA,,,,Overseas,,,,,Period,Food Services and Drinking Places1 Receipts ,,,,,,,,Food Services and Drinking Places1 Receipts ,,,,,,,,Period,"Air Passenger Traffic 1,2",,,,,,,Other Transportation,,,Air Passenger Traffic ,,,,,,,Other Transportation ,,,Period,Employment in key tourism industries1 (000s),,,,,Hotel Industry2,,,,Consumer Price Index1,,,Employment in key tourism industries1 ,,,,,Hotel Industry2,,,,Consumer Price Index1,
,,,Total,Same-day,Overnight,,Total,Asia,Europe,Other†,,,,Total,Same-day,Overnight,,Total,Asia,Europe,Other†,,,BC2,,,,Canada,,,,BC2,,,,Canada,,,,,Vancouver,,,,,Victoria,,BC Ferries,,,Vancouver,,,,,Victoria,,BC Ferries,,,,Air transport5,Accom-modation,Food & beverage services,"Arts, entertain-ment & recreation",,Occupancy Rate3 (%),Room Rate ($),Room Revenue ($)4,,Traveller accom-modation,Restaurant meals5,,Air transport5,Accom-modation,Food & beverage services,"Arts, entertain-ment & recreation",,Occupancy Rate3 ,Room Rate ,Room Revenue ($)4,,Traveller accom-modation,Restaurant meals5
,Annual data,,,,,,,,,,,Annual percent changes,,,,,,,,,,,,Total,"Drinking
Places",Food Services,,Total,"Drinking
Places",Food Services,,Total,"Drinking
Places",Food Services,,Total,"Drinking
Places",Food Services,,,Total,Domestic,Trans-border,Other Int'l.,,Total,,Vehicles,Passengers,,Total,Domestic,Trans-border,Other Int'l.,,Total,,Vehicles,Passengers,,,Annual data,,,,,,,,,,,,Annual percent changes,,,,,,,,,,
Aug,496238,,381283,141571,239711,,114955,52265,37119,25569,,1.892944628,,2.262864561,-1.432172,4.577738223,,0.685807378,1.471644631,0.689000407,-0.887665711,,Jul,689705,56485.21427,630904.1585,,4499426,223045,4276381,,0.297531189,1.05487632,0.169713401,,0.229063766,1.074435593,0.1853592,,Jul,1451.970457,762.6212879,349.3715187,342.2270227,,125.1942799,,641.9439075,1631.559546,,0.588686386,0.565692065,-0.075069728,0.246168554,,2.323038266,,-1.007663635,0.236544858,,Aug,16078,34316.61839,156656.2068,36497.1625,,60.10933456,127.9956385,"120,652",,83.92388606,132.5,,0.431007558,2.462915985,-0.079174072,0.901596584,,0.872501976,-0.43048733,0.591324337,,0.746892402,0
Sep,496501,,382556,145735,236821,,113944,51356,35779,26808,,0.052998763,,0.33387274,2.941280347,-1.205618432,,-0.879474577,-1.739213623,-3.610011046,4.845711604,,Aug,688036,54708.31494,633193.872,,4480761,219807,4260954,,-0.241987516,-3.145777806,0.36292573,,-0.414830692,-1.451724988,-0.36074896,,Aug,1452.910653,753.5080806,351.9560816,341.7309137,,126.6621014,,656.6886629,1677.248616,,0.064753116,-1.194984643,0.739774956,-0.144964878,,1.17243498,,2.296891544,2.80033113,,Sep,15889,35410.11804,156728.1954,35735.12907,,59.37641986,128.467515,"120,083",,83.8340968,132.6,,-1.175519343,3.186501758,0.045953229,-2.087925146,,-0.732914703,0.368666041,-0.471790719,,-0.106988913,0.075471698
Oct,498917,,378409,137193,241216,,120507,57843,37437,25224,,0.486605264,,-1.0840243,-5.861323635,1.855832042,,5.759846942,12.63143547,4.634003186,-5.908683975,,Sep,697236,58429.29768,637364.6115,,4534074,226614,4307460,,1.337139336,6.801493965,0.658682856,,1.189820211,3.096807654,1.091445718,,Sep,1465.213336,769.6992892,357.5248097,345.0984159,,125.085599,,653.3545538,1675.944493,,0.846761193,2.148777032,1.582222419,0.985425122,,-1.24465203,,-0.507715334,-0.07775368,,Oct,15687,35310.65131,157822.5267,35597.93455,,59.98678505,131.2886906,"123,326",,83.57874367,133,,-1.271319781,-0.280899186,0.69823517,-0.383920594,,0.610365193,2.196022627,2.700132933,,-0.304593407,0.301659125
Nov,491642,,376532,137582,238950,,115109,53530,36353,25225,,-1.458158371,,-0.496024143,0.283542163,-0.939407005,,-4.479407835,-7.456390574,-2.895531159,0.003964478,,Oct,687327,54541.41906,631776.0481,,4510203,224216,4285987,,-1.421183071,-6.65398827,-0.876823613,,-0.526480159,-1.058187049,-0.498507241,,Oct,1478.945071,773.0365018,358.1157095,349.7203706,,126.8340756,,648.4288036,1670.617951,,0.937183289,0.433573562,0.165275201,1.339314955,,1.397824048,,-0.753916877,-0.3178233,,Nov,15781,35513.79501,158247.8226,36504.38556,,58.39693457,128.7613289,"120,474",,84.56246292,133.2,,0.599222286,0.575304326,0.269477308,2.546358445,,-1.589850483,-1.92504151,-2.312294131,,1.176996932,0.15037594
Dec,496687,,379068,136347,242720,,117618,56053,36411,25152,,1.026153176,,0.673515133,-0.897646494,1.577735928,,2.179673179,4.713244909,0.159546667,-0.289395441,,Nov,694238,54848.92713,640121.1111,,4563246,225340,4337906,,1.005489381,0.5638065,1.320889417,,1.176066798,0.501302316,1.21136625,,Nov,1492.481757,780.8007038,358.5557263,346.8651553,,125.6765475,,646.4122584,1676.955592,,0.915293379,1.004377153,0.122870001,-0.816428074,,-0.912631808,,-0.310989445,0.379359077,,Dec,15973,35053.47363,159331.0226,36616.95627,,59.29117767,131.0152881,"123,010",,84.76509506,133.4,,1.216652937,-1.29617628,0.684495983,0.308375848,,0.894243101,1.750493899,2.104942668,,0.239624223,0.15015015
Jan '13,503689,,384532,146219,238313,,119157,57334,36363,25458,,1.409740943,,1.441430034,7.240349989,-1.81567238,,1.308473193,2.285337092,-0.131828294,1.216603053,,Dec,695923,53255.40205,643887.1243,,4597682,226921,4370760,,0.242712153,-2.905298533,0.588328239,,0.754638255,0.701606461,0.757370031,,Dec,1453.370988,769.3552689,352.7349992,338.44575,,125.9357223,,637.078248,1650.914227,,-2.6205191,-1.465858692,-1.623381445,-2.427284832,,0.206223695,,-1.44397176,-1.552895355,,Jan '13,15883,35210.92762,159158.8505,37412.20286,,58.80784634,131.604974,"122,801",,85.03404402,133.7,,-0.563450823,0.449182287,-0.108059377,2.171798723,,-0.483331335,0.450089399,-0.169708438,,0.31728739,0.224887556
Feb,503676,,379951,142961,236989,,123725,56686,39869,27168,,-0.002580958,,-1.191318278,-2.228164602,-0.555571874,,3.83359769,-1.130219416,9.641668729,6.716945557,,Jan '13,696012,55346.00914,643311.4653,,4613907,223751,4390157,,0.012788771,3.925624461,-0.089403714,,0.35289522,-1.396961938,0.443790096,,Jan '13,1454.243694,771.6512176,354.4590378,331.6598411,,127.2478614,,646.9378502,1668.899528,,0.060047013,0.29842504,0.488763141,-2.005021185,,1.041911781,,1.547628139,1.089414654,,Feb,16131,35508.43578,160672.3079,38023.03092,,59.15185723,131.3343349,"124,789",,85.35772111,134.3,,1.561417868,0.844931333,0.950909947,1.632697383,,0.344010895,-0.205645027,1.618528937,,0.380644119,0.448765894
Mar,497316,,377051,142146,234905,,120264,57687,35815,26760,,-1.262716508,,-0.763256315,-0.570085548,-0.879365709,,-2.797332795,1.765868116,-10.16830119,-1.501766784,,Feb,708690,55325.20089,654162.1881,,4638575,225928,4412647,,1.821520319,-0.037596656,1.686698173,,0.5346445,0.972956545,0.512282363,,Feb,1458.736658,776.8728487,350.5303452,340.0652586,,127.8013492,,644.8845474,1681.771582,,0.308955415,0.676682797,-1.108362946,2.534348903,,0.434968243,,-0.317387946,0.771289935,,Mar,15857,35753.34155,160927.7107,37744.36801,,58.64663255,130.3104697,"125,024",,84.77524482,134.4,,-1.698592772,0.689711507,0.158958831,-0.732879273,,-0.505224678,-0.77958685,0.188336564,,-0.682394382,0.074460164
Apr,501132,,378847,147883,230963,,122285,58768,36919,26596,,0.767318968,,0.476328136,4.035991164,-1.6781252,,1.680469633,1.873905733,3.082507329,-0.612855007,,Mar,705060,53226.00382,652540.8496,,4658207,225641,4432566,,-0.512212674,-3.794287297,-0.247849615,,0.423233428,-0.127031621,0.451407058,,Mar,1449.393222,771.7634128,344.9482199,339.4644604,,126.8329296,,640.2077589,1630.791472,,-0.64051566,-0.657692678,-1.592479891,-0.176671443,,-0.757753812,,-0.725213306,-3.031333778,,Apr,15420,34535.52624,165092.8888,37577.25248,,59.42710151,129.7813194,"123,031",,85.75240424,126.1,,-2.755880684,-3.406158002,2.588229302,-0.442756202,,0.780468953,-0.406068939,-1.593911932,,1.152647127,-6.175595238
May,498896,,378362,149985,228377,,120533,57745,37581,25204,,-0.446189826,,-0.128020019,1.42139394,-1.119659859,,-1.432718649,-1.740743262,1.793114656,-5.233869755,,Apr,709886,53849.49318,656677.0897,,4632910,219555,4413355,,0.684480753,1.171399905,0.633866844,,-0.543063028,-2.697204852,-0.433405842,,Apr,1470.137696,777.3562284,348.0573263,343.6611243,,127.1891561,,634.3941446,1629.424624,,1.431252355,0.724680064,0.901325532,1.236260154,,0.280862753,,-0.908082453,-0.083815025,,May,15769,34616.27966,165724.0485,37590.10039,,60.03026969,128.9619331,"124,761",,85.62031863,126.3,,2.263294423,0.233827093,0.382305759,0.034190661,,0.603168182,-0.631359158,1.406020016,,-0.154031384,0.158604282
Jun,520258,,395453,157468,237985,,124804,58643,39160,26999,,4.281854334,,4.517102669,4.989165583,4.207078646,,3.543427941,1.555112997,4.20159123,7.121885415,,May,720643,53100.86283,668870.0059,,4669068,221801,4447267,,1.515313726,-1.390227296,1.856759794,,0.780459797,1.022978297,0.768395019,,May,1471.66576,769.9375465,349.7203724,341.9610624,,129.142544,,638.7333348,1635.548872,,0.103940194,-0.954347781,0.477808085,-0.494691346,,1.535813277,,0.68398964,0.375853417,,Jun,15744,36100.18296,163858.6858,36975.62847,,62.51049533,132.2544064,"129,153",,84.36922178,127,,-0.158538905,4.286720919,-1.125583587,-1.634664193,,2.480225641,2.553058233,3.52078471,,-1.461214895,0.554235946
Jul,523265,,396391,150956,245435,,126874,58523,39799,28550,,0.577982463,,0.237196329,-4.135443392,3.130449398,,1.658600686,-0.204628003,1.631767109,5.74465721,,Jun,725449,54529.30711,669651.4278,,4694070,220676,4473395,,0.666904417,2.69005851,0.116827178,,0.535481599,-0.507211419,0.587506889,,Jun,1502.7405,788.9403579,364.7862106,352.1989565,,133.0872329,,636.3834835,1639.919327,,2.111535164,2.468097767,4.307967005,2.993877152,,3.054523105,,-0.367892391,0.267216397,,Jul,15821,36022.97444,164908.1553,36847.88616,,62.02022291,131.17681,"129,088",,86.6149069,127.2,,0.489075203,-0.21387293,0.640472324,-0.345477065,,-0.490272417,-0.814790515,-0.050558433,,2.661735017,0.157480315
Aug,526139,,396040,153597,242443,,130098,63206,38739,28151,,0.549243691,,-0.088548933,1.749516415,-1.219060036,,2.541103772,8.001982127,-2.663383502,-1.397548161,,Jul,729716,53608.78395,674794.3907,,4715225,217400,4497826,,0.588187454,-1.688125532,0.768005955,,0.450675001,-1.484529355,0.546140012,,Jul,1506.722781,787.9920965,364.4333531,354.3558233,,127.0446686,,646.3628161,1657.726177,,0.265001251,-0.120194307,-0.096729944,0.612400113,,-4.540303479,,1.568131939,1.085836925,,Aug,15742,35846.15758,167463.5435,36599.59894,,63.55104965,131.9553025,"130,272",,86.50097276,127.2,,-0.499336325,-0.490844715,1.549582643,-0.673816723,,1.530826739,0.593468111,0.916852404,,-0.131541021,0
Sep,515978,,390481,147444,243036,,125497,58206,39110,28179,,-1.931238703,,-1.403646096,-4.005937616,0.244593575,,-3.536564744,-7.910641395,0.957691216,0.099463607,,Aug,739366,54291.24186,683117.3407,,4734396,220646,4513750,,1.322432289,1.273033741,1.233405334,,0.406576568,1.493100276,0.354037706,,Aug,1536.157511,799.0901878,369.5979042,364.5328125,,130.7995973,,650.0762671,1667.894784,,1.953559721,1.408401349,1.417145565,2.871968929,,2.955597205,,0.57451494,0.613406939,,Sep,15860,35449.42693,166390.8159,36187.92116,,63.03013975,134.9601432,"132,964",,86.07172971,127.3,,0.749587092,-1.106759193,-0.640573789,-1.124815003,,-0.520909904,2.277165502,2.066796022,,-0.496229165,0.078616352
Oct,508917,,389944,152418,237526,,118972,55760,35605,27605,,-1.368469198,,-0.137522696,3.37348417,-2.267153837,,-5.199327474,-4.202315912,-8.961902327,-2.036977891,,Sep,745127,54873.97811,689706.6928,,4743951,216280,4527671,,0.779181082,1.073352223,0.96460034,,0.201820887,-1.978735169,0.308413182,,Sep,1514.083861,786.4211056,363.0105314,359.372294,,129.5237844,,631.1894147,1608.698328,,-1.436939234,-1.585438341,-1.782307957,-1.415652669,,-0.975395085,,-2.905328702,-3.549172077,,Oct,16069,35479.42661,167838.5929,36368.35763,,61.32629409,133.9250168,"130,735",,86.78622241,127.3,,1.31778058,0.084626693,0.870106343,0.498609652,,-1.703845655,-0.766986745,-1.676499744,,0.830113094,0
Nov,526908,,394771,153271,241500,,132137,60359,41313,30462,,3.535154062,,1.237870053,0.559645186,1.67308,,11.06562889,8.24784792,16.03145626,10.34957435,,Oct,752538,54388.20277,697326.4082,,4772641,216548,4556093,,0.994595552,-0.885256299,1.104776192,,0.604770159,0.123913446,0.627739957,,Oct,1515.433601,790.3795639,361.6642139,356.7274976,,129.8196734,,653.1054877,1679.220565,,0.089145653,0.503350979,-0.370875599,-0.735948893,,0.228443772,,3.472186391,4.383807423,,Nov,15918,35203.20679,167188.8444,38241.32747,,60.99336681,134.974099,"131,522",,87.06886936,127.3,,-0.939697554,-0.778535183,-0.387127038,5.149998418,,-0.33292728,0.783335527,0.601734228,,0.325681825,0
Dec,508389,,385604,147856,237748,,122784,58425,38016,26342,,-3.51465531,,-2.322105727,-3.532957963,-1.553623188,,-7.078259685,-3.204161765,-7.980538813,-13.5250476,,Nov,755821,53315.39847,702002.6299,,4803711,220818,4582893,,0.43625704,-1.97249448,0.670592954,,0.651002244,1.971849197,0.588223287,,Nov,1535.285565,806.5759698,365.1858976,368.6072393,,133.5635203,,643.4301587,1664.503278,,1.309985747,2.049193401,0.973744031,3.33020072,,2.883882507,,-1.481434335,-0.876435611,,Dec,15851,35443.11383,166398.556,37946.32552,,61.56472412,136.0211911,"132,578",,87.54834427,128,,-0.420907149,0.681492001,-0.472692062,-0.771421828,,0.571357311,0.775772648,0.80301037,,0.550684666,0.549882168
Jan '14,524022,,392550,150751,241799,,131471,63401,40095,27973,,3.075007524,,1.801329862,1.957986149,1.703904975,,7.075026062,8.516902011,5.46875,6.191633133,,Dec,756777,52377.51785,704690.5114,,4728169,211993,4516176,,0.126484975,-1.759117708,0.382887663,,-1.572575869,-3.996503908,-1.455783497,,Dec,1557.299152,815.2584644,368.2475876,372.3966301,,134.9076828,,643.5947363,1680.463463,,1.433843141,1.076463335,0.838392198,1.028029419,,1.006384449,,0.025578164,0.958855771,,Jan '14,15698,35777.08094,167037.6699,38052.22364,,62.68310372,136.0301379,"134,426",,87.80732494,127.9,,-0.965238786,0.942262331,0.384086251,0.279073449,,1.118379593,0.006577482,1.393765734,,0.295814465,-0.078125
Feb,513585,,383562,145757,237805,,130022,63172,38141,28706,,-1.991710272,,-2.289644631,-3.312747511,-1.65178516,,-1.102144199,-0.361193041,-4.873425614,2.620383942,,Jan '14,761360,54626.72018,709530.3573,,4783406,220730,4562676,,0.605594515,4.294213272,0.686804463,,1.168253504,4.121362498,1.029632149,,Jan '14,1585.82733,828.8974384,375.3206564,377.7764151,,135.0008284,,643.7866096,1681.512814,,1.831900965,1.672963191,1.920737283,1.44463848,,0.069043965,,0.029812748,0.062444097,,Feb,15790,36013.35787,166521.2886,38453.22105,,62.43885463,136.6251048,"134,663",,88.12667988,128.2,,0.586061919,0.660414207,-0.309140625,1.053808083,,-0.244249085,0.437378769,0.176449472,,0.363699664,0.234558249
Mar,519919,,386218,148460,237758,,133700,65651,39697,28351,,1.233291471,,0.6924565,1.85445639,-0.019764092,,2.828752057,3.924206927,4.079599381,-1.23667526,,Feb,757811,54279.99565,702856.5822,,4829630,221685,4607945,,-0.46613954,-0.634715995,-0.940590495,,0.96634072,0.43265528,0.992158987,,Feb,1561.698588,825.0408245,376.2296686,366.8086116,,135.4834634,,592.0951616,1563.965836,,-1.521523905,-0.465270338,0.242196158,-2.903252577,,0.357505221,,-8.029282882,-6.990548997,,Mar,15874,36334.7291,167208.9992,38082.36781,,61.94493848,136.8695229,"135,892",,88.59594354,128.4,,0.531982267,0.89236676,0.412986564,-0.964426995,,-0.493916151,0.178896882,0.912521714,,0.532487608,0.15600624
Apr,518831,,388281,147990,240291,,130549,63746,39318,27482,,-0.209263366,,0.534154286,-0.316583592,1.065368989,,-2.356768886,-2.901707514,-0.954732096,-3.065147614,,Mar,771655,56345.26538,714599.8561,,4848926,220990,4627937,,1.826840729,3.804845067,1.670792332,,0.399533712,-0.313507905,0.433859345,,Mar,1565.500886,819.5678253,377.1263303,370.963013,,136.4598682,,627.9495234,1621.350847,,0.243471966,-0.663361018,0.238328281,1.132580108,,0.72068189,,6.055506646,3.669198449,,Apr,15963,35913.71518,168488.4085,38721.21537,,63.18794069,137.6466191,"137,990",,87.48007979,129,,0.560665239,-1.158709394,0.765155756,1.677541604,,1.243002211,0.567764203,1.54394013,,-1.259497559,0.46728972
May,534885,,398861,151681,247180,,136023,67911,38442,29667,,3.094263835,,2.724830728,2.494087438,2.866940501,,4.193061609,6.533743294,-2.227987181,7.950658613,,Apr,770959,57796.8109,714557.4659,,4881416,227508,4653907,,-0.090195748,2.576162367,-0.005932019,,0.670045284,2.949454726,0.561157164,,Apr,1597.698705,837.3393928,382.3616981,382.3360692,,136.2341049,,635.1891793,1636.184869,,2.056710359,2.168407172,1.388226556,3.06581946,,-0.165442987,,1.152904112,0.914917471,,May,16650,36877.23689,169265.8669,37646.38738,,64.03074076,138.3354765,"137,696",,89.38544064,129,,4.303702312,2.68287952,0.46143143,-2.775811608,,0.842800067,0.500453573,-0.213116537,,2.178051118,0
Jun,531368,,396139,150421,245718,,135229,66666,39226,29334,,-0.657524515,,-0.682443257,-0.830690726,-0.591471802,,-0.583724811,-1.833281795,2.039436034,-1.122459298,,May,782031,59477.75326,722375.3624,,4946648,227750,4718898,,1.436133439,2.908365229,1.094089264,,1.336333556,0.106369886,1.396482568,,May,1618.375708,833.5860759,392.1989847,388.416194,,136.2656622,,626.7798791,1607.008343,,1.294174106,-0.448243194,2.572769878,1.59025666,,0.023164018,,-1.32390483,-1.783204742,,Jun,16516,36728.10737,169949.6937,37528.18235,,63.54978103,136.6951892,"138,050",,90.30978086,129.2,,-0.804804805,-0.404394521,0.403995667,-0.313987708,,-0.480959725,-1.18573149,0.257471251,,1.034106017,0.15503876
Jul,535120,,399584,143638,255945,,135536,67024,38694,29815,,0.706101986,,0.869644241,-4.509343775,4.162088248,,0.22702231,0.53700537,-1.356243308,1.639735461,,Jun,781485,56459.41612,724554.4779,,4947066,221657,4725410,,-0.069818204,-5.074732933,0.301659715,,0.008450167,-2.675301866,0.137998321,,Jun,1616.412899,832.510688,395.1374426,382.921417,,135.9530141,,629.4525894,1624.61506,,-0.121282638,-0.129007426,0.74922628,-1.414662197,,-0.229440126,,0.426419286,1.095620794,,Jul,16604,36543.4662,171132.7079,37719.86057,,63.19567085,135.3291546,"137,162",,87.71897607,129.5,,0.532816663,-0.502724429,0.696096684,0.510758078,,-0.35411018,-0.999328924,-0.643664377,,-2.868797566,0.232198142
Aug,539785,,400638,149205,251432,,139146,68739,39486,30920,,0.87176708,,0.263774325,3.87571534,-1.763269452,,2.663498997,2.558784913,2.046828966,3.70618816,,Jul,787857,56659.63717,730590.9359,,4959236,227121,4732115,,0.815370736,0.354628254,0.833126866,,0.246004399,2.465069905,0.14189245,,Jul,1615.257534,836.4594888,395.108752,379.5254702,,136.5257789,,632.8845817,1610.512276,,-0.071477112,0.474324333,-0.007260911,-0.886852134,,0.421296119,,0.545234452,-0.868069277,,Aug,15906,36537.36446,171937.7549,38061.98746,,65.83675647,140.0033248,"141,676",,89.54968879,129.8,,-4.203806312,-0.016697201,0.470422662,0.907020541,,2.641085619,3.453926976,3.291689204,,2.087020169,0.231660232
Sep,537411,,403376,147781,255594,,134035,65205,38465,30363,,-0.439804737,,0.683409961,-0.954391609,1.655318337,,-3.67312032,-5.141186226,-2.585726587,-1.801423027,,Aug,808646,57988.72617,748522.8392,,5023460,222786,4800674,,2.638676816,2.345742178,2.454438245,,1.295038187,-1.908674231,1.448802491,,Aug,1659.498192,871.4901254,405.3629685,387.2053756,,140.5154758,,654.0171321,1676.040944,,2.738922895,4.187965721,2.595289627,2.023554681,,2.92230301,,3.3390844,4.068808969,,Sep,15973,36524.61753,172135.458,38343.9843,,63.445306,137.5678781,"140,445",,89.55254933,129.8,,0.421224695,-0.034887377,0.114985275,0.740888383,,-2.391450471,-1.739563496,-0.869133277,,0.003194362,0
Oct,549273,,411550,152137,259413,,137722,67833,38758,31129,,2.2072492,,2.026397208,2.947604902,1.49416653,,2.750774052,4.030365769,0.761731444,2.522807364,,Sep,797636,55033.25023,741504.6087,,5006535,219195,4787340,,-1.361535208,-5.096638836,-0.937610737,,-0.336919175,-1.611860709,-0.277752666,,Sep,1628.422257,848.3291793,399.4159298,381.5995264,,137.0669993,,642.6214333,1636.740966,,-1.872610406,-2.65762577,-1.46708979,-1.447771532,,-2.454161368,,-1.742415941,-2.344810156,,Oct,16095,36285.954,173235.5311,38539.64131,,64.1926535,140.0359961,"144,631",,92.8035184,130,,0.763788894,-0.653431979,0.639074059,0.510267807,,0.747347494,1.79410929,2.980209978,,3.630236209,0.154083205
Nov,534770,,401147,151849,249298,,133623,64977,38934,29710,,-2.640399219,,-2.527760904,-0.189303062,-3.899187782,,-2.976285561,-4.2103401,0.454099799,-4.55845032,,Oct,800325,56142.98171,744961.2016,,5045269,219559,4825710,,0.337121193,2.016474527,0.466159331,,0.773668815,0.166062182,0.801488927,,Oct,1623.330419,841.2309337,397.9429083,374.9579105,,139.5872711,,630.7646301,1619.527855,,-0.312685306,-0.836732457,-0.368793878,-1.740467552,,1.838715209,,-1.845068129,-1.051669803,,Nov,16589,35975.68856,172793.7295,37805.55449,,65.74174679,146.2043925,"149,510",,91.6055833,130.3,,3.069276173,-0.855056599,-0.255029425,-1.904757794,,1.549093294,4.404864877,3.373760451,,-1.290829407,0.230769231
Dec,557734,,413857,157490,256367,,143876,71281,41395,31198,,4.294182546,,3.168414571,3.714874645,2.835562259,,7.673080233,9.701894517,6.320953408,5.008414675,,Nov,814476,55808.57562,758841.7265,,5048407,213566,4834841,,1.768156686,-0.595632934,1.863254738,,0.062196882,-2.729562441,0.18921568,,Nov,1627.548965,854.0875874,403.5243165,377.0138054,,141.150221,,643.8683231,1661.18339,,0.259869775,1.528314432,1.40256508,0.548300182,,1.119693731,,2.077429896,2.572078936,,Dec,16725,36359.68191,173616.8916,38162.37428,,64.95250706,143.8372035,"148,482",,91.46443444,130.8,,0.819820363,1.067369002,0.476384248,0.943829022,,-0.789239725,-1.619095694,-0.68795551,,-0.154083244,0.383729854
Jan '15,554152,,419452,158955,260496,,134700,65448,38977,30273,,-0.642241642,,1.351916242,0.930217792,1.610581705,,-6.377714143,-8.183106298,-5.841285179,-2.96493365,,Dec,820383,57738.86761,763371.5865,,5079354,221572,4857782,,0.725251573,3.458773088,0.596943974,,0.613005251,3.748724048,0.47449337,,Dec,1658.648517,859.6684406,414.4423444,386.2961917,,140.6613127,,657.9909574,1708.7318,,1.910821322,0.653428674,2.705667884,2.46208127,,-0.346374458,,2.193404118,2.862321562,,Jan '15,15836,35709.92423,174871.0762,38475.72068,,65.90508286,144.4223814,"150,965",,92.71196337,131.2,,-5.315396114,-1.787027946,0.72238629,0.821087268,,0.952575801,0.406833498,1.672688004,,1.363949751,0.305810398
Feb,561378,,423706,162977,260728,,137672,67126,40326,30218,,1.303974361,,1.014180407,2.530275864,0.089060868,,2.206384558,2.563867498,3.461015471,-0.181680045,,Jan '15,817610,56832.26686,760877.8223,,5076987,214640,4862348,,-0.338012855,-1.570174114,-0.326677629,,-0.046600414,-3.128554149,0.093993514,,Jan '15,1647.328896,844.0291288,429.7964513,377.0569592,,140.4920707,,643.8598612,1663.265795,,-0.682460533,-1.819226004,3.704763083,-2.391748272,,-0.120318772,,-2.147612526,-2.660804076,,Feb,15997,35889.61551,175238.1386,37222.23641,,66.19014577,145.2750877,"152,280",,93.71427903,131.4,,1.016670876,0.503197037,0.209904532,-3.257857788,,0.285062901,0.590425281,0.871005365,,1.081107141,0.152439024
Mar,560008,,421672,162124,259547,,138336,69430,40295,28608,,-0.244042339,,-0.480049846,-0.523386736,-0.452962474,,0.48230577,3.432351101,-0.076873481,-5.327950228,,Feb,849746,58890.41741,786856.3825,,5078177,216444,4861733,,3.930480302,3.621447232,3.414288013,,0.023439099,0.840477078,-0.01264821,,Feb,1655.876823,853.5568688,419.4056404,388.2599445,,141.2627362,,656.8197288,1731.477704,,0.518896238,1.128840186,-2.417612081,2.971165244,,0.548547339,,2.012839809,4.101082896,,Mar,15915,36032.09303,176230.5775,37416.60895,,64.27995873,143.9465886,"151,280",,93.48151885,131.3,,-0.512596112,0.396988146,0.566337316,0.522194673,,-1.910187035,-0.914471357,-0.656686002,,-0.248372161,-0.076103501
Apr,560354,,423045,159189,263855,,137308,69027,39898,28382,,0.061784832,,0.32560853,-1.810342701,1.659814985,,-0.743118205,-0.580440732,-0.9852339,-0.789988814,,Mar,827444,55868.28826,768101.3166,,5098955,217024,4881931,,-2.624548983,-5.131784223,-2.383543726,,0.409162579,0.267967696,0.415448565,,Mar,1682.946588,847.2289013,431.7878873,402.1813759,,143.4579291,,648.5737757,1680.125877,,1.634769216,-0.74136449,2.952331987,3.585595578,,1.553978726,,-1.255436268,-2.965780452,,Apr,15909,35874.7881,176346.5343,37579.07052,,64.21298182,144.5920851,"153,938",,95.00610564,131.7,,-0.037700283,-0.436568952,0.065798306,0.4341964,,-0.066976912,0.448427731,1.757174543,,1.63089647,0.304645849
May,581414,,437424,167807,269617,,143989,70653,42050,31284,,3.758338479,,3.398929192,5.413690644,2.18377518,,4.865703382,2.355599983,5.393754073,10.22479036,,Apr,833800,56225.73157,780536.1208,,5151216,215977,4935239,,0.76814866,0.639796411,1.618901554,,1.024935501,-0.482435122,1.09194497,,Apr,1673.834399,843.5312103,425.7553776,396.1197039,,142.3527865,,658.8572024,1679.95655,,-0.541442534,-0.436445332,-1.397100258,-1.507198587,,-0.770360089,,1.585544637,-0.010078242,,May,16132,36280.1126,177334.0685,39325.13337,,65.46314966,148.7950574,"160,925",,95.48319807,132.1,,1.401722296,1.129831081,0.559996387,4.646370507,,1.250167844,2.906778997,4.538743693,,0.502170289,0.303720577
Jun,591663,,452636,180173,272463,,139027,66800,40192,32033,,1.76277145,,3.477632686,7.36918007,1.055571422,,-3.446096577,-5.45341316,-4.418549346,2.394195116,,May,834551,55191.20602,778290.6349,,5249630,215854,5033776,,0.090069561,-1.839950359,-0.287685066,,1.910500356,-0.056950509,1.996600367,,May,1690.790449,856.5514568,427.4993681,409.7935968,,141.1212302,,658.2729163,1696.611666,,1.0130064,1.543540576,0.409622663,3.451959775,,-0.865143754,,-0.088681751,0.991401631,,Jun,16419,36342.50545,177616.1667,39640.67077,,67.5791735,153.9211333,"164,570",,99.49087074,132.2,,1.779072651,0.171975331,0.159077308,0.802381007,,2.116023835,3.445057892,2.265148971,,4.197254337,0.075700227
Jul,581608,,437068,161893,275175,,144539,72246,40239,32052,,-1.699447152,,-3.439408266,-10.14580431,0.995364508,,3.964697505,8.152694611,0.116938694,0.059313833,,Jun,841517,55772.02233,782734.6663,,5219040,220294,4998746,,0.834700336,1.052371121,0.570998961,,-0.582707734,2.056945899,-0.695899063,,Jun,1690.15359,856.386816,419.2472677,412.9777737,,142.6785052,,665.8698576,1722.144431,,-0.03766634,-0.019221357,-1.930318731,0.777019695,,1.103501565,,1.154071685,1.504926873,,Jul,16371,35980.04445,179548.4534,39707.85553,,67.44212212,153.0863281,"165,824",,98.85026358,132.2,,-0.292344235,-0.997347296,1.087900217,0.169484409,,-0.137051376,-0.542359038,0.761493932,,-0.643885372,0
