Period,Total,,USA,,,,Overseas,,,,,Total,,USA,,,,Overseas,,,,,Period,Food Services and Drinking Places1 Receipts ,,,,,,,,Food Services and Drinking Places1 Receipts ,,,,,,,,Period,"Air Passenger Traffic 1,2",,,,,,,Other Transportation,,,Air Passenger Traffic ,,,,,,,Other Transportation ,,,Period,Employment in key tourism industries1 (000s),,,,,Hotel Industry2,,,,Consumer Price Index1,,,Employment in key tourism industries1 ,,,,,Hotel Industry2,,,,Consumer Price Index1,
,,,Total,Same-day,Overnight,,Total,Asia,Europe,Other†,,,,Total,Same-day,Overnight,,Total,Asia,Europe,Other†,,,BC2,,,,Canada,,,,BC2,,,,Canada,,,,,Vancouver,,,,,Victoria,,BC Ferries,,,Vancouver,,,,,Victoria,,BC Ferries,,,,Air transport5,Accom-modation,Food & beverage services,"Arts, entertain-ment & recreation",,Occupancy Rate3 (%),Room Rate ($),Room Revenue ($)4,,Traveller accom-modation,Restaurant meals5,,Air transport5,Accom-modation,Food & beverage services,"Arts, entertain-ment & recreation",,Occupancy Rate3 ,Room Rate ,Room Revenue ($)4,,Traveller accom-modation,Restaurant meals5
,Annual data,,,,,,,,,,,Annual percent changes,,,,,,,,,,,,Total,"Drinking
Places",Food Services,,Total,"Drinking
Places",Food Services,,Total,"Drinking
Places",Food Services,,Total,"Drinking
Places",Food Services,,,Total,Domestic,Trans-border,Other Int'l.,,Total,,Vehicles,Passengers,,Total,Domestic,Trans-border,Other Int'l.,,Total,,Vehicles,Passengers,,,Annual data,,,,,,,,,,,,Annual percent changes,,,,,,,,,,
2018,8308020,,6092370,2212762,3879604,,2215642,1072048,616468,526778,,4.489858547,,4.129388803,-0.671671773,7.081515568,,5.494002154,5.706515844,6.797081941,3.52954587,,2017,"11,882,228",744061,"11,138,167",,"70,386,044",2761416,"67,624,628",,6.828303185,0.802970734,7.256581862,,5.269722499,0.424037624,5.477553988,,2017,"24,166","11,736",5995.002,6434.865,,1934.871,,8637.9,"21,855",,8.44367161,5.40727765,9.702551558,13.17990495,,4.225873334,,3.641533884,3.107042668,,2018,15782.5,41074.41667,197074.4167,48385.5,,70.675,185.0791667,"2,815,826",,106.9416667,143.8333333,,-6.349669437,4.896740472,2.132175812,3.768081753,,0.658333333,9.088810409,14.00373681,,0.666771258,3.365672536
2019,8608657,,6317872,2180538,4137327,,2290779,1101942,639595,549030,,3.618635969,,3.701383862,-1.456279528,6.64302336,,3.391206702,2.788494545,3.751532926,4.224170334,,2018,"12,539,259",703246,"11,771,628",,"73,756,913",2780646,"70,976,271",,5.529526954,-5.48543735,5.687300253,,4.789115581,0.696381856,4.956246118,,2018,"25,937","12,447",6332.091,7158.094,,2048.627,,8864.695,"22,252",,7.327486859,6.053753945,5.622833821,11.23922569,,5.879254999,,2.625580292,1.814865499,,2019,16027.41667,40387.33333,197036.75,50504.75,,70.75,189.3683333,"3,233,867",,104.4333333,148.425,,1.551824278,-1.67277685,-0.019112915,4.379927871,,0.075,2.317476755,14.84612943,,-2.345515468,3.19235226
2020,1332154,,1018262,479315,538939,,313886,160017,60803,93021,,-84.52541436,,-83.8828327,-78.01849819,-86.97373932,,-86.2978489,-85.47863681,-90.49351543,-83.05720999,,2019,"13,147,229",751517,"12,395,712",,"77,025,710",2694263,"74,331,443",,4.848532118,6.864027666,5.301594648,,4.431851696,-3.106580269,4.727174241,,2019,"26,380","12,681",6411.692,7286.866,,1924.385,,8980.054,"22,325",,1.707837097,1.884622149,1.257104486,1.798970508,,-6.0646472,,1.301330728,0.330833938,,2020,14434.33333,26732,143782.6667,33962.33333,,39.36666667,138.2225,"1,484,969",,83.39166667,152.4,,-9.939738677,-33.81093082,-27.02748768,-32.75417989,,-31.38333333,-27.00865157,-54.08071629,,-20.14842004,2.678120263
2021,1007039,,797070,330878,466185,,209964,96349,71663,41909,,-24.40521141,,-21.72250364,-30.96856973,-13.49948695,,-33.10819852,-39.7882725,17.86096081,-54.94673246,,2020,"9,915,932",532614,"9,383,318",,"55,607,060",1432562,"54,174,498",,-24.57777985,-29.12815013,-24.30190376,,-27.80714387,-46.82916998,-27.11765598,,2020,"7,300","4,241",1353.674,1705.262,,574.874,,6845.831,"13,972",,-72.32628983,-66.55432288,-78.88741381,-76.59814247,,-70.1268717,,-23.7662602,-37.41499036,,2021,13421.33333,28130.25,156955.6667,37458.25,,49.43312492,153.2805963,"2,124,849",,88.29166667,155.9083333,,-7.017989516,5.230622475,9.161744114,10.29351144,,10.06645826,10.89409923,43.09046919,,5.875886879,2.302055993
2022,5182730,,4124395,1775920,2348466,,1058332,334653,404512,319114,,414.650376,,417.4445155,436.7295499,403.7626693,,404.0540283,247.3341706,464.4642284,661.4450357,,2021,"11,997,880",539663,"11,458,217",,"65,687,407",1573563,"64,113,847",,20.99598908,1.323472534,22.11263649,,18.12781866,9.842575749,18.34691482,,2021,"7,087","5,161",931.233,994.627,,673.748,,8074.444,"16,712",,-2.927022311,21.67684306,-31.20699666,-41.67306842,,17.19924714,,17.94687891,19.60921448,,2022,15729.58333,34195.66667,181974.8333,45853.5,,67.47646288,207.7225995,"3,833,024",,112.4916667,164.4833333,,17.19836579,21.56190104,15.94027613,22.41228568,,18.04333795,35.51787016,80.39045262,,27.40915526,5.500026725
2023,7795122,,6116546,2781355,3335186,,1678568,668165,479667,530703,,50.40571282,,48.30165394,56.6148813,42.0155114,,58.60505021,99.65904982,18.57917688,66.30514487,,2022,"14,599,420",662001,"13,937,419",,"82,902,859",2359871,"80,542,985",,21.68333072,22.66933253,21.63689167,,26.20814672,49.96990905,25.62494495,,2022,"19,013","10,598",4365.871,4048.86,,1490.039,,9264.66,"21,087",,168.2966526,105.3658176,368.8269209,307.0732043,,121.1567233,,14.74053198,26.17609256,,2023,17434.25,36936.33333,187894.4167,50639.5,,68.61925214,228.8181619,"4,615,121",,127.675,174.3166667,,10.83732881,8.014660727,3.25296813,10.43758928,,1.14278926,10.15564145,20.40417463,,13.4972961,5.978315939
2024,8435975,,6644827,3056360,3588461,,1791141,768412,512988,509701,,8.221205518,,8.636916979,9.887446946,7.594029239,,6.706490294,15.00333002,6.946694269,-3.957392364,,2023,"16,110,545",672731,"15,437,814",,"92,826,954",2512407,"90,314,548",,10.35058242,1.620843473,10.76522848,,11.97075121,6.463743145,12.13210933,,2023,"24,937","12,813",6047.572,6076.755,,1742.35,,9529.39,"22,477",,31.15824627,20.89520116,38.51925538,50.08557964,,16.93318094,,2.857417326,6.591742662,,2024,17212.5,36899.83333,185386.3333,51187,,68.12091986,243.5608333,"4,751,653",,127.4666667,180.2833333,,-1.271921648,-0.098818688,-1.334836542,1.081171813,,-0.498332275,6.442963837,2.958365142,,-0.163174727,3.422889378
2025,8359824,,6490475,3102578,3387892,,1869342,831566,532512,505215,,-0.902693524,,-2.32288967,1.512190972,-5.589276294,,4.365987937,8.218768057,3.805936981,-0.880123837,,2024,"16,616,243",652217,"15,964,026",,"95,973,588",2447322,"93,526,263",,3.138925468,-3.049361483,3.408591398,,3.389784825,-2.59054365,3.556143579,,2024,"26,206","12,858",6631.214,6716.968,,1872.033,,9736.04,"22,815",,5.086881969,0.348678295,9.650848307,10.53544202,,7.442993658,,2.168554336,1.506338947,,2025,17106,37210.75,185025.25,52710.41667,,70.9,246.955,"4,978,795",,122.7333333,184.375,,-0.618736383,0.842596398,-0.194773437,2.976178847,,2.779080137,1.39356013,4.780261442,,-3.713389121,2.269575668
,Monthly data,,,,,,,,,,,Month-over-month percent changes,,,,,,,,,,,2025,17378551,654162,16724389,,100187883,2415332,97772548,,4.587727803,0.298213631,4.76297771,,4.391098726,-1.307143073,4.540205995,,2025,26913.57,13347.983,6161.517,7404.046,,1986.057,,9914.242,"23,175",,2.700775133,3.813687947,-7.083122336,10.22899022,,6.090918269,,1.830333483,1.577795138,,,Monthly data,,,,,,,,,,,,Month-over-month percent changes,,,,,,,,,,
Jan '00,665951,,554667,267314,287353,,111285,61613,37795,18807,,-0.174183384,,-0.233288486,NA,NA,,0.122358276,4.322722655,-0.586564259,33.6578779,,,Monthly data,,,,,,,,Month-over-month percent changes,,,,,,,,,Monthly data,,,,,,,,,,Month-over-month percent changes,,,,,,,,,,Jan '00,14392,27623.30059,114705.083,26156.65495,,x,x,x,,107.9077581,92.9,,-4.296533797,1.172961831,2.461110313,0.589537528,,x,x,x,,-0.581840067,0.044814808
