Table 6: Average Employment Incomes by Area and Economic Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: BC Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sector Aggregations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Total,Forestry,,,Mining,Oil and Gas,"Fishing, Hunting and Trapping",Agriculture and Food,,,Tourism,,,,,,,Public Sector,,,,,,,,Construction,Film and TV,High Tech Manufacturing,Other Manufacturing,Utilities,Truck Transport,Water Transport,Rail Transport,Other Transport,Retail Trade,Wholesale Trade,Business Services,FIRE,Information and Communications Technology,Other Services,,,,,
Key,Region Name,Ref_Year,Statistic,Geo_Type,Parent_RD,Total,Forestry Total,Forestry: Logging,Forestry: Wood Manufacturing,Mining Total,Oil and Gas Total,Fishing Total,Agriculture Total,"Agriculture: Farming, Greenhouses and Aquaculture",Agriculture: Food Processing,Tourism Total,Tourism: Transportation,Tourism: Accommodation,Tourism: Food and beverage,Tourism: Recreation and entertainment,Tourism: Retail,Tourism: Other,Public Sector Total,Public Sector: Federal Government,Public Sector: Provincial Government,Public Sector: Health,Public Sector: Social Services,Public Sector: Education,Public Sector: Local Government,Public Sector: Indigenous Government,Construction Total,Film and TV Total,High Tech Manufacturing Total,Other Manufacturing Total,Utilities Total,Truck Transport Total,Water Transport Total,Rail Transport Total,Other Transport Total,Retail Trade Total,Wholesale Trade Total,Business Services Total,FIRE Total,ICT Total,Other Services Total,Other Services: Accommodation,Other Services: Food Services,Other Services: Recreation and Entertainment,Other Services: Other,
33,North Shore,2010,Average Employment Income,EDA,Metro Vancouver,"65,400","101,500","109,100","96,600","222,900","83,000","42,700","55,800","78,000","52,400","41,000","55,700","53,700","25,400","33,000","41,100","43,000","63,600","69,300","81,200","75,300","35,900","54,600","62,900","38,400","60,000","61,800","91,200","67,800","98,300","48,900","67,500","97,600","71,500","35,400","75,500","73,500","102,400","79,800","32,500","51,300","20,700","31,100","39,900",
34,Pitt Meadows-Maple Ridge,2010,Average Employment Income,EDA,Metro Vancouver,"46,240","51,300","40,200","53,600","70,700","62,300","36,000","35,000","23,600","49,000","40,000","63,900","42,400","27,200","26,400","32,000","45,800","52,600","66,900","67,600","47,100","35,500","48,900","64,100","36,000","49,500","38,400","56,500","53,200","70,200","46,100","96,000","76,800","64,900","31,900","54,300","41,700","57,400","60,100","25,800","42,400","18,400","26,600","31,000",
35,Richmond,2010,Average Employment Income,EDA,Metro Vancouver,"42,240","65,100","68,400","64,800","82,300","43,000","29,000","32,900","26,600","35,300","32,200","46,800","34,600","20,700","27,800","31,800","33,100","50,300","62,000","57,600","48,800","33,800","45,000","63,300","60,000","39,000","23,200","54,200","47,000","84,900","41,100","64,100",0,"48,400","29,900","46,100","37,900","52,100","55,900","25,600","34,300","17,800","28,400","32,900",
36,Surrey,2010,Average Employment Income,EDA,Metro Vancouver,"42,640","52,800","53,300","52,700","61,400","31,600","28,200","32,000","22,000","41,200","33,100","50,600","34,700","22,000","26,800","31,300","31,200","48,300","60,100","54,600","46,600","35,000","43,700","58,800","24,000","45,400","38,400","55,300","46,700","84,200","38,400","71,100","59,900","51,900","30,700","53,100","37,400","51,700","58,000","25,000","34,600","17,700","26,000","31,100",
37,Capital,2010,Average Employment Income,RD,Capital,"44,160","45,200","43,500","47,800","37,100","61,000","27,400","23,900","18,000","31,100","31,800","48,900","30,700","21,600","24,300","30,600","31,600","53,300","63,200","63,000","47,400","33,300","48,500","60,000","23,800","41,900","22,300","63,100","47,700","71,200","35,100","59,600","70,000","48,900","30,000","55,700","38,700","56,800","54,300","26,400","30,600","18,700","24,800","33,800",
38,Central and North Saanich,2010,Average Employment Income,EDA,Capital,"47,800","56,000","56,000",0,0,"35,900","100,000","24,500","22,900","27,800","39,800","58,300","29,000","22,500","19,700","36,200","40,500","53,400","64,200","68,000","46,900","33,000","46,700","61,600","21,000","44,500","30,000","78,400","51,200","60,500","37,700","61,000",0,"58,200","31,400","51,000","49,700","66,500","70,800","26,000","28,500","16,600","21,300","37,000",
39,Greater Victoria,2010,Average Employment Income,EDA,Capital,"42,760","36,200","35,400","38,000",0,"73,900","12,000","28,700","25,000","29,800","27,500","41,400","29,400","20,900","27,200","29,300","24,000","52,300","58,500","62,400","49,400","31,300","47,400","61,900","22,000","37,900","22,400","60,500","60,100","70,500","39,000","57,300",0,"43,600","27,600","47,900","35,700","56,000","50,600","27,100","28,900","19,000","25,000","36,500",
40,Gulf Islands,2010,Average Employment Income,EDA,Capital,"31,200","26,000","26,000",0,0,0,0,"17,100","9,900","36,000","28,400","58,500","25,000","22,000","16,000","36,900","5,200","39,100","58,000","48,000","38,300","32,800","39,200","32,000",0,"31,900","48,000",0,"19,600","60,000",0,"54,200",0,"85,000","27,700","56,900","23,300","33,100","29,200","19,100","25,000","18,100","16,600","18,100",
41,Saanich,2010,Average Employment Income,EDA,Capital,"45,600","44,500","38,200","48,800","35,000","35,000","40,000","23,900","17,100","30,800","32,900","49,800","34,100","22,200","23,100","31,900","34,500","54,400","59,400","65,100","48,500","37,100","51,700","57,500",0,"42,100","13,700","59,800","50,600","76,000","30,100","63,200",0,"47,900","29,900","71,900","39,900","61,700","54,300","26,200","34,200","18,600","24,000","33,700",
42,Sooke-Port Renfrew,2010,Average Employment Income,EDA,Capital,"42,400","29,100","25,000","32,000","40,000","40,000","30,100","18,900","18,900",0,"30,200","48,600","29,500","21,600","39,700","28,500","21,100","52,500","67,100","60,000","47,000","29,200","42,200","56,000","26,000","38,900",0,"40,300","42,500","40,000","43,000","61,400","56,000","38,400","27,900","30,900","29,400","72,800","51,000","29,600","29,700","21,000","45,400","33,800",
